name,latitude_deg,longitude_deg
Noahs Ark Airport,39.23059845,-94.80439758
Torgerson Airport,48.558696,-112.117095
Randall Airport,41.431999,-74.391602
Tailwinds Airport,34.82749939,-78.93029785
Fitterer's Strip,46.74890137,-101.6689987
St Marys Hospital Heliport,40.68000031,-95.86170197
Cole Farm Airport,42.92839813,-70.97309875
Chemical Bank - New Jersey Na Heliport,39.950102,-74.999603
Silver Creek Airport,39.098333,-114.150277
Murphy Field,42.836797,-76.437614
Saint Elizabeth Medical Center Heliport,41.1147995,-80.65699768
Hal Joy Airfield,41.50979996,-80.59120178
Green Acres Airport,39.73479843,-84.38220215
Albert Lodge Heliport,36.54169846,-94.83360291
Hayden Mountain Airport,45.46509933,-123.0800018
Freefall Oz Airport,41.995792,-78.288152
Schiavoni Heliport,40.382733,-76.772533
Cherokee Island Castle Heliport,40.40230179,-79.9213028
Grawunder Field,29.941065,-96.245298
Beyer Farm Airport,37.581088,-97.2575
Glaser Field,30.90850067,-97.11689758
Ainsworth Airport,30.31270027,-95.02690125
Hunter STOLport,35.69729996,-86.95690155
Roscoe Mc Connico Airport,32.120701,-96.179101
6 Mile Airpark,30.860024,-100.201996
Diamond N Ranch Airport,30.057919,-95.812489
Mount Horeb Field,38.24900055,-78.8553009
N A Degerstrom Yard Heliport,47.68629837,-117.197998
Young Private Airport,45.662701,-92.450203
Western Airpark,46.92499924,-122.5530014
J & W Windy Hill Airport,33.445914,-96.57079
Campbell Field,33.322933,-97.045019
Herman Municipal Airport,45.83000183,-96.16059875
Pan Lake Strip Airport,61.695964,-149.954903
Tac X Stagefield Army Heliport,31.12520027,-85.97910309
Morrilton Airport,35.194339,-92.802473
John C Lincoln Hospital Heliport,33.5667,-112.069
Blue Hill Airport,44.44800186,-68.56970215
West Side Hospital Heliport,35.138949,-119.451463
Richvale Airport,39.49769974,-121.7710037
Comanche Creek Airport,39.2635994,-104.427002
TNT Heliport,41.4529,-72.249603
Tackaberry Airport,43.064499,-82.723801
Ocean Reef Club Airport,25.3253994,-80.27480316
Flying G Ranch STOLport,30.417999,-83.283796
Southwest Florida Regional Medical Center Heliport,26.6054,-81.859497
Alcovy Airport,33.674263,-83.764637
Lake Monroe Seaplane Base,39.05870056,-86.44609833
Hoskins Landing,40.647888,-95.02135
Interstate Airport,42.274991,-113.301229
St Vincent Jennings Hospital Heliport,39.01060104,-85.64080048
Gray Airport,39.57369995,-85.91390228
Central City Municipal - Larry Reineke Field,41.11259842,-98.05169678
Heape Field,37.73419952,-96.93669891
Blue Lick Airport,38.08060074,-85.69329834
Air Oil Inc Nr 1 Heliport,29.937099,-90.183701
Louisiana State Police Troop F Heliport,32.51825,-91.989093
West Pond Heliport,41.91699982,-70.70950317
Baugher's Orchard Airport,39.60829926,-77.05190277
Westbrook Heliport,43.73830032,-70.33920288
Scott Airstrip,43.86420059,-85.02390289
Dairyview Airport,44.05500031,-95.90950012
Lake Sexton Airport,38.655553,-93.624458
Glasgow Industrial Airport,48.42110062,-106.5279999
Bermudian Valley Airpark,40.0168,-77.003899
Hawks Meadow Airport,34.83319855,-80.75119781
Diving Rock Seaplane Base,43.17559814,-72.06390381
Hackensack UMC Palisades Heliport,40.793666,-73.994863
Border Line Farm Airport,39.102239,-114.053472
Mmc Heliport,42.66640091,-74.76499939
Tennessee Gas Heliport,39.9373,-81.683503
Pleasant Valley Airport,34.63339996,-99.03369904
Bruce's Airport,45.42179871,-122.6200027
Folmar Airport,40.998889,-78.125278
Advanced Public Health of Isabela Heliport,18.489403,-67.026333
Churchill Airport,39.77280045,-99.36009979
Salaika Aviation Airport,29.240519,-95.344658
Cuddihy Field,27.72109985,-97.51280212
Corntassel Airport,35.5685997,-84.2410965
Cross-Country Estates Airport,30.625381,-97.571425
Pecks Heliport,33.18399811,-96.44799805
E Northrop Grumman Airport,41.716667,-112.447222
Alpha Hotel Airport,36.81959915,-78.78309631
Meadow STOLport,44.44720078,-72.91470337
Multicare Deaconess Hospital Heliport,47.651637,-117.424477
Bartell Strip,42.965302,-88.391502
Stallions Airport,44.960084,-106.105925
Luecke Heliport,29.906488,-97.214397
Allen Ponderosa Heliport,32.54219818,-97.39170074
Hill City-Quadna Mountain Airport,46.95550156,-93.59690094
Fisher Airport,61.568743,-149.725757
Little Lagoon Seaplane Base,30.243717,-87.754678
Crittenden Regional Hospital Heliport,35.142046,-90.190212
Mesa Police Heliport,33.417669,-111.838835
Merrymeeting Field,44,-69.88710022
PG&E Placerville Service Center Heliport,38.695211,-120.826086
Kistler Ranch Airport,37.85960007,-120.5540009
Tulare Motor Sports #1 Heliport,36.172031,-119.306181
Terra Firma Airport,38.73249817,-104.0410004
Seavair's Landing Seaplane Base,41.89599991,-73.0931015
City of Coalgate Airport,34.53179932,-96.23310089
Duda Airstrip,26.57979965,-81.48370361
Sunniland Ranch Airport,27.36310005,-80.77279663
J. H. Hendrie Farms Airport,27.08449936,-81.3286972
Salt Fork Lodge Heliport,40.11090088,-81.52619934
Sapelo Island Airport,31.42580032,-81.2858963
Symms Airport,43.56930161,-116.7770004
Parkview Lagrange Hospital Heliport,41.645085,-85.426386
Harms Airstrip,41.577,-89.793999
Winona Lake Seaplane Base,41.223056,-85.830556
Hemmer RLA Restricted Landing Area,37.97779846,-89.20290375
Alderson Airport,39.03469849,-97.58000183
Deaconess Union County Hospital Heliport,37.628414,-87.946994
Boss Airport,36.97259903,-84.62609863
Air Oil Inc Nr 2 Heliport,29.95299911,-90.18260193
Sauer Airport,41.07529831,-88.48919678
Aeleron Airport,30.40829,-92.033444
Wormid Airport,42.29399872,-71.49620056
UM Saint Joseph Medical Center Heliport,39.388411,-76.610815
Lindbergh Airport,44.81539,-70.34851
Sparrow Hospital Heliport,42.734474,-84.536046
Christenson Point Seaplane Base,47.66939926,-93.05439758
Twin Oaks Airport,37.395599,-94.283798
Williams Field,34.66220093,-89.86830139
Matovich Airport,47.065679,-108.809624
Keller Brothers Airport,40.29180145,-76.32879639
Whiteheart Farm Airport,36.06760025,-80.46559906
Brecht Strip,47.32310104,-102.0979996
Laurel Municipal Airport,42.43170166,-97.07949829
Memorial Hospital Heliport,44.06129837,-71.13580322
St Barnabas Medical Center Heliport,40.76259995,-74.30400085
Bell Mountain Airport,35.217541,-82.426
Md1 Airport,41.36809921,-74.50559998
Kenley Airport,41.29169846,-80.56369781
Parks Airport,34.93149948,-95.25830078
Broken B Airport,35.408087,-98.605477
Saxon Sycan Airport,42.83929825,-121.1169968
Pocono Raceway Heliport,41.055358,-75.512039
Thomson Heliport,40.04589844,-76.28079987
Richmond Airport,41.489498,-71.620598
Douglas County Memorial Hospital Heliport,43.325923,-98.345152
Rancho Del Lago Heliport,29.97842,-98.258418
B J McCombs Sisterdale Airport,29.975331,-98.742451
PTC Airport,35.298914,-86.474357
Puesta Del Sol Airport,26.881331,-98.504885
LZ Tango Charlie Airport,30.308803,-99.022228
Cross Wind Airport,32.85789,-97.744303
Stevens-Crosby Airport,41.515701,-115.860001
Springwood Airstrip,37.55400085,-79.74980164
Manchester Laboratory Heliport,47.574299,-122.547997
Pierick Airport,43.04359818,-90.35510254
Knolle Ranch Airport,30.479253,-96.504031
Peterson Airport,29.10810089,-95.77749634
Sheldon Chalet Heliport,62.969888,-150.75375
West Beaver Airport,61.589361,-149.847333
Greene County Hospital & Nursing Home Heliport,32.842385,-87.890523
Magnolia Hospital Heliport,33.27320099,-93.23989868
Stronghold Airport,31.924848,-110.040007
Mee Memorial Hospital Heliport,36.205514,-121.132541
Alta Sierra Airport,39.11380005,-121.0569992
Tulare Motor Sports #2 Heliport,36.182556,-119.313572
Cottonwood Field,38.055275,-103.650769
Placid Lakes Airport,27.24559975,-81.4131012
Cheryl-Lane Landings Airport,28.67110062,-82.08730316
